;marca;preco
83;Gabinete Gamer NZXT H210i, Mid Tower, RGB, com FAN, Lateral em Vidro - CA-H210I-B1;R$ 499,99
84;Gabinete Gamer Corsair iCUE 4000X, RGB, Mid-Tower, ATX, Lateral e Frontal em Vidro Temperado, Com FAN, Preto - CC-9011204-WW;R$ 999,99
85;Gabinete Gamer XPG Invader, Mid Tower, ARGB, com FAN, Lateral em Vidro - 15260044;R$ 479,99
86;Gabinete Gamer Corsair iCUE 465X, RGB, Mid-Tower, ATX, Lateral e Frontal em Vidro Temperado, Com FAN - CC-9011188-WW;R$ 749,99
87;Gabinete Gamer Liketec Craft, Mid Tower, RGB, M-ATX, MINI-ITX, Lateral em Acrílico, Preto - GL-CRAFT-1;R$ 129,99
88;Gabinete Slim K-mex Gm-04cc, Usb 2.0, Fonte 200w, Micro Atx, Preto - Gm04ccbn001cb0x;R$ 303,49
89;Gabinete Gamer Redragon Skyfire Preto Mid Tower Lateral Vidro Temperado Sem Fan - Gc-xa211;R$ 309,00
90;Gabinete Gt S/ Fonte, Preto - Gtm11;R$ 141,09
91;Gabinete Gamer NZXT H1 V2, Mini-ITX, com Fonte 750W, Lateral em Vidro Temperado, Branco - CS-H11BW-US;R$ 1.824,99
92;Gabinete Gamer Aerocool Mid Tower SI-5100 Preto EN58348;R$ 269,99
93;Gabinete Gamer NZXT H510, Mid Tower, com FAN, Lateral em Vidro - CA-H510B-B1;R$ 599,99
94;Gabinete Gamer Corsair Obsidian Series 1000D, Super-Tower, RGB, Lateral em Vidro Temperado, Preto, CC-9011148-WW;R$ 3.469,99
95;Gabinete Gamer Gamemax Brufen C1, Full, Window, Lateral Vidro, 3 Fans, Frontal;R$ 443,61
96;Gabinete Gamer Sharkoon Elite,  Full Tower, RGB, ATX, Lateral em Vidro Temperado, 4x Cooler Fan RGB, Preto -  CA300H;R$ 999,99
97;Gabinete Chinamate Office, Mid Tower, M-ATX/ITX, Preto - CM-52;R$ 139,99
98;Gabinete Atx Compact Sc501bk Preto Fortrek;R$ 110,93
99;Gabinete Gamer Hayom Gb1749, 4 Fans RGB, Atx/M-atx, Lateral E Frontal Em Vidro Temperado, Preto;R$ 293,23
100;Gabinete Gamer Corsair 5000D Airflow, Mid Tower, ATX, Lateral em Vidro Temperado, 2x Cooler Fan, Preto - CC-9011210-WW;R$ 1.449,99
101;Gabinete Gamer T-Dagger P03P, Rosa Pink, Mid Tower - TGC-P03P;R$ 194,65
102;Gabinete Gamer T-Dagger RGB, Mid Tower, Lateral em Acrílico, Rosa - TGC-P03P;R$ 249,99
103;Gabinete NZXT H7 Flow, Mid Tower, ATX, Lateral em Vidro Temperado, 2x Fans, Preto e Branco - CM-H71FG-01;R$ 1.199,99
104;Gabinete Gamer Safe Gamer, Mini Tower, MAtx C/ Fonte 230w - Lp-1702;R$ 135,90
105;Gabinete Gaming Kratos II, Preto LED, RGB, K-Mex - CG-45TP;R$ 194,57
106;Gabinete C3tech Slim Mid Tower, Com Fonte 200W PS-200SFX, Micro ATX, Preto - DT-110BK;R$ 275,56
107;Gabinete NZXT H510 Branco Fosco Mid Tower Lateral de Vidro ATX Sem Fonte 2 Coolers - CA-H510B-W1;R$ 622,96
108;Gabinete Gamer NZXT H1 V2, Mini-ITX, com Fonte 750W, Lateral em Vidro Temperado, Preto - CS-H11BB-US;R$ 1.979,99
109;Gabinete Gamer Lian Li PC-011 Dynamic, Mini ITX / Micro ATX / ATX, Lateral e Frontal em Vidro, Preto - PC-O11 DYNAMIC BLACK;R$ 1.279,99
110;Gabinete Gamer Corsair 5000D Airflow, Mid-Tower, ATX, Lateral em Vidro Temperado, 2x FANs, Branco - CC-9011211-WW;R$ 929,99
111;Gabinete Gamer NZXT H9 Elite, Mid Tower, RGB, ATX, Lateral, Frontal e Topo em Vidro, Preto - CM-H91EB-01;R$ 1.999,99
112;Gabinete Gamer Liketec Cycle, Mid Tower, RGB, M-ATX e MINI-ITX, Lateral em Acrílico, 3x Cooler Fan RGB, Preto - GL-CYCLE-2;R$ 189,99
113;Gabinete Gamer C3Tech sem Fonte, Mid Tower, USB 3.0, Lateral em Acrílico, 3x Fans RGB, Preto  - MT-G800BK;R$ 359,99
114;Gabinete Gamer C3Tech Gaming, MID Tower, Preto - MT-G90BK;R$ 149,99
115;Gabinete Gamer Cooler Master MasterBox MB320L ARGB, Mini Tower, ARGB, com FAN, Lateral em Vidro - MCB-B320L-KGNN-S02;R$ 449,99
116;Gabinete Gamer Galax Revolution-05, Com 4 Coolers, ATX, ITX, Mini-ATX, Lateral De Vidro, Preto - CGG5ANBA4B0;R$ 439,90
117;Gabinete Gamer Concórdia Storm X360, Mid Tower, RGB, ATX, Lateral De Vidro, Com 4 Fans RGB, Preto;R$ 278,10
118;Gabinete Gamer K-mex Kratos Cg-42tp, Painel Fita LED RGB, USB 2.0, Preto - Cg42tprh001cb0x;R$ 197,25
119;Gabinete Gamer Draxen Ithnan, Mid Tower, ArGB, Vidro Temperado - Preto;R$ 203,54
120;Gabinete Gamer K-mex Kratos Cg-50tp, Painel Fita Led Rgb, Usb 2.0, Preto - Cg50tprh001cb0x;R$ 193,69
121;Gabinete Gamer, K-mex, Strife 2, Led RGB, Cg01c1rh001cb0x, Cg-01c1;R$ 212,97
122;Gabinete Nzxt H9 Flow, Branco, Dual-chaMBer, Mid-tower, Vidro 360°;R$ 1.598,31
123;Gabinete Gamer Corsair iCUE 5000X, RGB, Mid-Tower, ATX, Frente e Lateral em Vidro Temperado, 3x FANs Frontais, Preto - CC-9011212-WW;R$ 1.999,99
124;Gabinete Gamer Bluecase, Mid Tower, Tampa em acrilico, Branco sem fonte USB 3.0 BG-015;R$ 279,99
125;Gabinete Crystal Gamer Corsair Series 680X, RGB, Lateral em Vidro Temperado, Preto, CC-9011168-WW;R$ 1.699,99
126;Gabinete Gamer Gamemax Draco XD 3603, Mid Tower, ARGB, LED, ATX, Lateral em Vidro Temperado, 3x Cooler Fan, Preto - 3603;R$ 429,99
127;Gabinete Gamer Gamemax Fortress TG, Mid Tower, ATX, Lateral em Vidro Temperado, 2x Cooler Fan, Preto - Fortress TG;R$ 299,99
128;Gabinete Gamer Gamemax Brufen C1, ARGB, ATX, Lateral em Vidro, 3 Cooler Fan RGB, Preto;R$ 429,99
129;Gabinete Gamer Pcfort Orion B730, Mini Tower, ITX, Vidro Lateral, Com Fan LED RGB, Preto;R$ 197,99
130;Gabinete Gamer Brazilpc Bpc-c3147, ATX, Lateral e Frontal em Vidro, Preto;R$ 152,11
131;Gabinete Powerx 6503bk, Mid Tower com Fonte 230w, Micro-atx, Com Fan 80mm, Preto;R$ 180,83
132;Gabinete Gamer Mymax Aurora, Mid Tower, LED RGB, USB 3.0, Lateral Vidro Temperado, Preto;R$ 230,20
133;Gabinete Gamer K-mex Microcraft 03rc, Mini Tower, Com Janelas De Acrílico, Com 1 Fan RGB 5 Cores 200mm, Preto;R$ 292,50
134;Gabinete C3tech Mt-26bk, Micro ATX, Fonte 200w, Sem Cabo, Preto;R$ 142,48
135;Cooler Fan Rise Mode Wind Led Vermelho 120mm Rm-wn-01-br;R$ 17,88
136;Gabinete C3tech MT-23V2BK, Mini Tower, com Fonte, Micro-ATX, Preto;R$ 162,02
137;Gabinete Gamer Fortrek Holt, Mid Tower, RGB, Lateral em Acrílico - 70571;R$ 229,99
138;Gabinete Crystal Gamer Corsair Series 280X, RGB, Lateral em Vidro Temperado, Preto - CC-9011135-WW;R$ 899,99
139;Gabinete Gamer Aerocool Bolt Mid Tower, RGB, com FAN, Lateral em Acrílico - 67990;R$ 299,99
140;Gabinete Gamer Corsair iCUE 220T Airflow, RGB, Mid-Tower, ATX, Lateral em Vidro Temperado, Branco - CC-9011174-WW;R$ 699,99
141;Gabinete Gamer Bluecase, Mid Tower, Tampa em Acrilico, Branco  - USB 3.0 BG-009;R$ 299,99
142;Gabinete Gamer Corsair 5000T,  Mid Tower, LED RGB, ATX, Lateral em Vidro, Temperado   Preto - CC-9011230-WW;R$ 2.899,99
